,date,city,state,winscore,losscore,loser,winner,locale,TSU score,opponent score,scorediff,scorediff_abs,winloss,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,opponent,gametype,year,TSU score_new,opponent score_new,scorediff_new,scorediff_abs_new,attendance_new,TSUrushyards_new,TSUreceiveyards_new,TSUkreturnyards_new,TSUpreturnyards_new,TSUtackleyd_new,TSUsacks_new,TSUsackyd_new,TSUpunt_new
72,2009-10-03,Nashville,TN,23,17,Southeast Missouri State University,Tennessee State University,Home,23,17,6,6,Win,6314,259,95,72,30,58,20,3.0,15,5,Southeast Missouri State University,conference,2009,23.0,17.0,6.0,6.0,6314.0,259.0,95.0,72.0,30.0,20.0,3.0,15.0,5.0
73,2009-10-10,Richmond,KY,20,17,Eastern Kentucky University,Tennessee State University,Away,20,17,3,3,Win,7100,159,124,81,24,52,24,3.0,14,8,Eastern Kentucky University,conference,2009,20.0,17.0,3.0,3.0,7100.0,159.0,124.0,81.0,24.0,24.0,3.0,14.0,8.0
74,2009-10-17,Nashville,TN,9,6,Tennessee State University,Murray State University,Home,6,9,-3,3,Loss,5572,169,68,64,5,69,21,2.0,12,6,Murray State University,conference,2009,6.0,9.0,-3.0,3.0,5572.0,169.0,68.0,64.0,5.0,21.0,2.0,12.0,6.0
75,2009-10-31,Cookeville,TN,20,13,Tennessee State University,Tennessee Tech University,Away,13,20,-7,7,Loss,7999,152,128,78,7,56,35,2.0,18,7,Tennessee Tech University,conference,2009,13.0,20.0,-7.0,7.0,7999.0,152.0,128.0,78.0,7.0,35.0,2.0,18.0,7.0
76,2009-11-07,Nashville,TN,28,7,Tennessee State University,University of Tennessee Martin,Home,7,28,-21,21,Loss,22092,62,207,97,7,83,9,0.0,0,7,University of Tennessee Martin,conference,2009,7.0,28.0,-21.0,21.0,22092.0,62.0,207.0,97.0,7.0,9.0,0.0,0.0,7.0
77,2009-11-14,Clarksville,TN,24,21,Tennessee State University,Austin Peay State University,Away,21,24,-3,3,Loss,6968,104,189,60,2,73,6,0.0,0,8,Austin Peay State University,conference,2009,21.0,24.0,-3.0,3.0,6968.0,104.0,189.0,60.0,2.0,6.0,0.0,0.0,8.0
78,2009-11-19,Charleston,IL,21,10,Eastern Illinois University,Tennessee State University,Away,21,10,11,11,Win,3509,176,135,55,-4,47,19,2.0,11,8,Eastern Illinois University,conference,2009,21.0,10.0,11.0,11.0,3509.0,176.0,135.0,55.0,-4.0,19.0,2.0,11.0,8.0
79,2010-09-04,Nashville,TN,27,14,Alabama A&M University,Tennessee State University,Home,27,14,13,13,Win,22607,107,127,127,36,64,42,7.0,40,6,Alabama A&M University,nonconference,2010,27.0,14.0,13.0,13.0,22607.0,107.0,127.0,127.0,36.0,42.0,2.089005235602094,40.0,6.0
80,2010-09-11,Memphis,TN,33,26,Tennessee State University,Jackson State University,Away,26,33,-7,7,Loss,44688,224,185,133,28,60,26,0.0,0,6,Jackson State University,nonconference,2010,26.0,33.0,-7.0,7.0,44688.0,224.0,185.0,133.0,28.0,26.0,0.0,0.0,6.0
81,2010-09-18,Nashville,TN,26,23,Tennessee State University,Austin Peay State University,Home,23,26,-3,3,Loss,8502,162,225,134,25,57,24,2.0,13,3,Austin Peay State University,conference,2010,23.0,26.0,-3.0,3.0,8502.0,162.0,225.0,134.0,25.0,24.0,2.0,13.0,3.0
82,2010-09-25,Atlanta,GA,29,18,Florida A&M University,Tennessee State University,Away,29,18,11,11,Win,54202,304,109,33,142,58,60,8.0,48,5,Florida A&M University,nonconference,2010,29.0,18.0,11.0,11.0,16985.230366492146,304.0,109.0,33.0,18.75392670157068,25.350785340314136,2.089005235602094,13.534031413612565,5.0
83,2010-10-02,Indianapolis,IN,37,7,North Carolina A&T State University,Tennessee State University,Away,37,7,30,30,Win,35217,379,142,20,13,66,34,5.0,31,4,North Carolina A&T State University,nonconference,2010,37.0,7.0,30.0,30.0,35217.0,157.7696335078534,142.0,20.0,13.0,34.0,5.0,31.0,4.0
84,2010-10-09,Cape Girardeau,MO,19,17,Tennessee State University,Southeast Missouri State University,Away,17,19,-2,2,Loss,10316,152,147,90,0,86,17,1.0,9,5,Southeast Missouri State University,conference,2010,17.0,19.0,-2.0,2.0,10316.0,152.0,147.0,90.0,0.0,17.0,1.0,9.0,5.0
85,2010-10-16,Jacksonville,AL,24,0,Tennessee State University,Jacksonville State University,Away,0,24,-24,24,Loss,15218,154,65,61,-19,66,11,0.0,0,8,Jacksonville State University,conference,2010,0.0,24.0,-24.0,24.0,15218.0,154.0,65.0,61.0,-19.0,11.0,0.0,0.0,8.0
86,2010-10-23,Nashville,TN,21,10,Tennessee State University,Tennessee Tech University,Home,10,21,-11,11,Loss,6739,158,203,56,1,67,24,1.0,4,3,Tennessee Tech University,conference,2010,10.0,21.0,-11.0,11.0,6739.0,158.0,203.0,56.0,1.0,24.0,1.0,4.0,3.0
